model,accuracy,genderStatus,genderIdentity
FF,1,CIS,Man
FF,1,CIS,Man
FF,1,CIS,Man
FF,1,CIS,Man
FF,1,CIS,Man
FF,1,CIS,Man
FF,1,CIS,Man
FF,1,CIS,Man
FF,1,CIS,Man
FF,1,CIS,Man
FF,1,CIS,Man
FF,1,CIS,Man
FF,1,CIS,Man
FF,1,CIS,Man
FF,1,CIS,Man
FF,1,CIS,Man
FF,1,CIS,Man
FF,1,CIS,Man
FF,1,CIS,Man
FF,1,CIS,Man
FF,1,CIS,Man
FF,1,CIS,Man
FF,1,CIS,Man
FF,0,CIS,Man
FF,0,CIS,Man
FF,0,CIS,Man
FF,1,CIS,Man
FF,1,CIS,Man
FF,1,CIS,Man
FF,1,CIS,Man
FF,1,CIS,Man
FF,1,CIS,Man
FF,0,CIS,Man
FF,1,CIS,Man
FF,0,CIS,Man
FF,0,CIS,Man
FF,1,CIS,Man
FF,1,CIS,Man
FF,1,CIS,Man
FF,1,CIS,Man
FF,1,CIS,Man
FF,1,CIS,Man
FF,1,CIS,Man
FF,1,CIS,Man
FF,1,CIS,Man
FF,1,CIS,Man
FF,0,CIS,Man
FF,1,CIS,Man
FF,1,CIS,Man
FF,1,CIS,Woman
FF,1,CIS,Woman
FF,1,CIS,Woman
FF,1,CIS,Woman
FF,1,CIS,Woman
FF,1,CIS,Woman
FF,1,CIS,Woman
FF,1,CIS,Woman
FF,1,CIS,Woman
FF,1,CIS,Woman
FF,1,CIS,Woman
FF,1,CIS,Woman
FF,1,CIS,Woman
FF,1,CIS,Woman
FF,1,CIS,Woman
FF,1,CIS,Woman
FF,1,CIS,Woman
FF,1,CIS,Woman
FF,1,CIS,Woman
FF,1,CIS,Woman
FF,1,CIS,Woman
FF,1,CIS,Woman
FF,1,CIS,Woman
FF,0,CIS,Woman
FF,1,CIS,Woman
FF,1,CIS,Woman
FF,1,CIS,Woman
FF,1,CIS,Woman
FF,1,CIS,Woman
FF,1,CIS,Woman
FF,1,CIS,Woman
FF,1,CIS,Woman
FF,1,CIS,Woman
FF,1,CIS,Woman
FF,1,CIS,Woman
FF,1,CIS,Woman
FF,1,CIS,Woman
FF,1,CIS,Man
FF,1,CIS,Man
FF,1,CIS,Man
FF,1,CIS,Man
FF,0,CIS,Man
FF,1,CIS,Man
FF,1,CIS,Man
FF,1,CIS,Man
FF,1,CIS,Man
FF,1,CIS,Man
FF,1,CIS,Man
FF,1,CIS,Man
FF,1,CIS,Man
FF,1,CIS,Man
FF,1,CIS,Man
FF,0,CIS,Man
FF,1,CIS,Man
FF,0,CIS,Man
FF,1,CIS,Man
FF,1,CIS,Man
FF,1,CIS,Man
FF,1,CIS,Man
FF,1,CIS,Man
FF,1,CIS,Man
FF,1,CIS,Man
FF,1,CIS,Man
FF,1,CIS,Man
FF,0,CIS,Man
FF,1,CIS,Man
FF,1,CIS,Man
FF,1,CIS,Man
FF,1,CIS,Man
FF,1,CIS,Man
FF,1,CIS,Man
FF,1,CIS,Man
FF,1,CIS,Man
FF,0,CIS,Man
FF,1,CIS,Man
FF,1,CIS,Man
FF,1,CIS,Man
FF,1,CIS,Man
FF,1,CIS,Man
FF,1,CIS,Man
FF,1,CIS,Man
FF,1,CIS,Woman
FF,1,CIS,Woman
FF,1,CIS,Woman
FF,1,CIS,Woman
FF,1,CIS,Woman
FF,1,CIS,Woman
FF,0,CIS,Woman
FF,1,CIS,Woman
FF,1,CIS,Woman
FF,1,CIS,Woman
FF,1,CIS,Woman
FF,1,CIS,Woman
FF,1,CIS,Woman
FF,1,CIS,Woman
FF,1,CIS,Woman
FF,1,CIS,Woman
FF,1,CIS,Woman
FF,1,CIS,Woman
FF,1,CIS,Woman
FF,1,CIS,Woman
FF,1,CIS,Woman
FF,1,CIS,Woman
FF,1,CIS,Woman
FF,1,CIS,Woman
FF,1,CIS,Woman
FF,1,CIS,Woman
FF,1,CIS,Woman
FF,1,CIS,Woman
FF,1,CIS,Woman
FF,1,CIS,Woman
FF,1,CIS,Woman
FF,1,CIS,Woman
FF,1,CIS,Woman
FF,1,CIS,Woman
FF,1,CIS,Woman
FF,1,CIS,Woman
FF,1,CIS,Woman
FF,1,CIS,Woman
FF,1,CIS,Woman
FF,1,CIS,Woman
FF,1,CIS,Man
FF,1,CIS,Man
FF,1,CIS,Man
FF,1,CIS,Man
FF,1,CIS,Man
FF,1,CIS,Man
FF,1,CIS,Man
FF,1,CIS,Man
FF,1,CIS,Man
FF,1,CIS,Man
FF,1,CIS,Man
FF,0,CIS,Man
FF,1,CIS,Man
FF,1,CIS,Man
FF,0,CIS,Man
FF,1,CIS,Man
FF,1,CIS,Man
FF,1,CIS,Man
FF,1,CIS,Man
FF,1,CIS,Man
